Year,Month,Day,Time,Lat,Lon,Depth,Mag,Region,Timestamp
2014,11,16,19:10:19,24.888,91.203,20.4,2.9,INDIA-BANGLADESH BORDER REGION,1416165019
2014,10,30,00:12:17,23.551,90.513,26.3,3.2,BANGLADESH,1414627937
2014,10,17,17:50:45,22.826,92.338,9.1,3.5,INDIA-BANGLADESH BORDER REGION,1413568245
2014,10,13,19:25:23,25.609,91.898,11.7,2.9,INDIA-BANGLADESH BORDER REGION,1413228323
2014,9,12,07:56:39,25.5937,90.0646,3.2,4.1,INDIA-BANGLADESH BORDER REGION,1410508599
2014,8,22,21:51:53,25.787,90.347,10.0,2.8,INDIA-BANGLADESH BORDER REGION,1408744313
2014,8,17,20:34:33,23.6501,91.2946,51.7,4.1,INDIA-BANGLADESH BORDER REGION,1408307673
2014,8,7,17:55:46,24.7496,91.8833,34.9,3.4,INDIA-BANGLADESH BORDER REGION,1407434146
2014,7,27,05:35:34,25.9933,90.3112,0.0,3.6,INDIA-BANGLADESH BORDER REGION,1406439334
2014,7,22,23:35:15,26.2364,89.5355,14.9,4.0,INDIA-BANGLADESH BORDER REGION,1406072115
2014,7,22,22:58:29,26.0259,89.5651,8.4,4.2,INDIA-BANGLADESH BORDER REGION,1406069909
2014,7,22,20:54:41,26.0035,89.7033,16.0,4.3,INDIA-BANGLADESH BORDER REGION,1406062481
2014,6,28,16:37:15,26.3704,89.856,35.0,3.5,INDIA-BANGLADESH BORDER REGION,1403973435
2014,6,27,04:47:32,23.9066,92.5866,0.0,3.7,INDIA-BANGLADESH BORDER REGION,1403844452
2014,6,14,06:45:31,21.9508,90.3317,0.0,3.7,BANGLADESH,1402728331
2014,6,9,17:40:21,24.074,91.4467,30.0,4.1,INDIA-BANGLADESH BORDER REGION,1402335621
2014,5,21,21:38:30,23.9342,92.0823,0.0,3.3,INDIA-BANGLADESH BORDER REGION,1400708310
2014,5,21,16:21:54,18.2405,88.0647,45.1,6.1,BAY OF BENGAL,1400689314
2014,5,4,20:47:42,24.0127,91.3504,30.0,3.0,INDIA-BANGLADESH BORDER REGION,1399236462
2014,2,28,13:11:28,23.6456,91.2654,29.0,3.9,INDIA-BANGLADESH BORDER REGION,1393593088
2014,2,14,13:10:45,24.6038,89.6184,10.0,4.2,BANGLADESH,1392383445
2014,2,5,21:50:41,25.844,90.5539,0.0,3.3,INDIA-BANGLADESH BORDER REGION,1391637041
2014,1,20,13:18:23,22.1049,92.7497,10.0,4.1,INDIA-BANGLADESH BORDER REGION,1390223903
2013,12,17,08:56:27,24.0086,90.8386,28.3,3.5,BANGLADESH,1387270587
2013,12,7,04:41:50,24.089,91.149,48.2,3.5,INDIA-BANGLADESH BORDER REGION,1386391310
2013,12,4,13:05:19,26.5421,89.5621,10.0,4.7,INDIA-BANGLADESH BORDER REGION,1386162319
2013,10,26,08:46:30,25.444,90.817,5.0,3.4,INDIA-BANGLADESH BORDER REGION,1382777190
2013,10,13,19:55:27,25.8293,90.2761,60.0,4.6,INDIA-BANGLADESH BORDER REGION,1381694127
2013,9,8,13:40:57,25.5672,91.9219,17.3,3.6,INDIA-BANGLADESH BORDER REGION,1378647657
2013,8,27,01:20:33,24.206,91.4012,10.0,3.5,INDIA-BANGLADESH BORDER REGION,1377566433
2013,8,23,16:56:32,22.5474,92.5966,10.0,3.7,INDIA-BANGLADESH BORDER REGION,1377276992
2013,8,17,10:24:28,24.195,91.392,26.1,3.0,INDIA-BANGLADESH BORDER REGION,1376735068
2013,8,11,08:24:13,24.8412,91.847,14.1,3.7,INDIA-BANGLADESH BORDER REGION,1376209453
2013,8,7,01:43:27,23.585,88.5867,35.0,3.6,INDIA-BANGLADESH BORDER REGION,1375839807
2013,8,6,18:36:31,23.4205,88.46,35.0,4.5,INDIA-BANGLADESH BORDER REGION,1375814191
2013,7,8,03:44:21,24.1472,91.4189,15.0,4.1,INDIA-BANGLADESH BORDER REGION,1373255061
2013,6,24,08:27:58,25.697,90.702,10.0,3.2,INDIA-BANGLADESH BORDER REGION,1372062478
2013,6,20,04:10:15,22.3258,91.9827,35.0,3.7,BANGLADESH,1371701415
2013,6,20,02:41:46,24.6831,90.2228,31.3,3.8,BANGLADESH,1371696106
2013,6,19,19:45:22,25.3358,91.5431,28.0,3.5,INDIA-BANGLADESH BORDER REGION,1371671122
2013,6,18,00:57:55,24.172,91.422,18.6,3.6,INDIA-BANGLADESH BORDER REGION,1371517075
2013,6,3,06:40:43,24.158,91.644,15.9,3.5,INDIA-BANGLADESH BORDER REGION,1370241643
2013,6,3,01:20:02,25.7627,91.2525,10.0,4.7,INDIA-BANGLADESH BORDER REGION,1370222402
2013,6,1,13:28:54,22.101,88.5967,10.0,4.1,INDIA-BANGLADESH BORDER REGION,1370093334
2013,5,26,14:31:40,24.2,91.588,11.9,3.0,INDIA-BANGLADESH BORDER REGION,1369578700
2013,5,14,20:40:50,24.0554,92.4553,26.1,3.8,INDIA-BANGLADESH BORDER REGION,1368564050
2013,5,10,22:11:24,24.347,91.793,24.3,3.5,INDIA-BANGLADESH BORDER REGION,1368223884
2013,4,25,14:55:00,24.707,91.831,10.0,3.2,INDIA-BANGLADESH BORDER REGION,1366901700
2013,4,16,15:41:12,25.685,90.869,10.0,3.2,INDIA-BANGLADESH BORDER REGION,1366126872
